x,y,z,time
8.188169,-6.263232,1.134852,72972622250257.000000
8.283937,-4.783615,0.272939,72972661273330.000000
8.456321,-4.951209,0.521936,72972701521820.000000
7.920019,-4.970363,0.430956,72972722924372.000000
6.071695,-4.692636,0.770933,72972802077028.000000
6.148310,-4.783615,0.708684,72972822786664.000000
7.426814,-4.869806,0.723049,72972861495101.000000
11.544841,-4.960786,1.723825,72972943287132.000000
14.844050,-4.812346,0.919373,72972982120726.000000
15.002068,-4.572925,0.919373,72973002206611.000000
14.082694,-4.400543,1.019930,72973022642028.000000
14.508862,-4.759673,1.288081,72973061699684.000000
14.149732,-6.593631,1.019930,72973101723278.000000
11.712435,-6.756437,1.211466,72973122890622.000000
11.185710,-7.331046,0.905008,72973162788486.000000
10.180145,-6.694188,0.804452,72973182865309.000000
9.351752,-6.459556,0.263362,72973202788330.000000
8.384495,-6.478710,0.445322,72973222924476.000000
7.369353,-6.330269,0.497994,72973263656195.000000
5.755661,-5.477933,0.756568,72973302935153.000000
4.884171,-4.817134,0.938527,72973322544059.000000
4.438850,-4.371812,0.995988,72973342001038.000000
4.141969,-4.007894,0.837971,72973382614736.000000
4.103662,-3.730166,0.598550,72973403135674.000000
4.376601,-3.672705,0.703895,72973423126820.000000
11.487380,-4.955997,1.465251,72973582240465.000000
16.998833,-5.822699,0.995988,72973623878122.000000
16.979679,-6.162675,0.857124,72973642887236.000000
16.572664,-6.627151,1.216254,72973662338747.000000
13.910312,-7.058106,2.140416,72973702890101.000000
13.000515,-6.560112,2.049437,72973723041872.000000
11.760319,-5.717354,1.168370,72973742465309.000000
10.606314,-4.481946,0.497994,72973763078590.000000
10.055647,-3.347094,0.330400,72973783887132.000000
8.757990,-3.983952,0.354342,72973823995257.000000
5.659893,-2.437297,0.588974,72973884839736.000000
4.649539,-3.145981,0.665588,72973902598799.000000
4.031836,-3.792415,0.244209,72973923227809.000000
5.726931,-4.390966,0.450110,72973982787809.000000
7.900866,-4.314352,2.250550,72974043325517.000000
13.795390,-5.257667,2.015918,72974102878590.000000
13.259089,-5.511452,2.422932,72974143675205.000000
13.843274,-5.712565,2.513912,72974164010361.000000
14.197616,-6.478710,2.231396,72974204673434.000000
13.335704,-6.478710,2.193089,72974224315986.000000
11.707646,-6.210559,2.063802,72974243544580.000000
10.644621,-6.047753,1.517924,72974284032548.000000
11.415554,-6.004658,1.173159,72974303060257.000000
11.573571,-5.899313,1.010353,72974323601351.000000
11.540052,-5.482722,0.641646,72974343208121.000000
11.224017,-4.726154,-0.081403,72974384115153.000000
10.893618,-4.271256,-0.023942,72974404873486.000000
9.921572,-3.687071,-0.158017,72974424213903.000000
8.355764,-3.155558,-0.076614,72974464604788.000000
7.972692,-3.280056,-0.019154,72974483809840.000000
7.603985,-3.524265,-0.277727,72974524059059.000000
7.335834,-3.476381,-0.407014,72974544118173.000000
7.407660,-3.337517,-0.330400,72974563941767.000000
7.900866,-3.375824,-0.507571,72974583371767.000000
9.375694,-3.658340,-0.761356,72974644032392.000000
9.931149,-4.371812,-0.727837,72974685197705.000000
9.931149,-4.371812,-0.727837,72974703475517.000000
9.179369,-4.276044,0.383072,72974744253069.000000
11.698070,-5.444415,1.862689,72974764095100.000000
12.756307,-5.339070,1.800440,72974804214007.000000
13.311762,-4.477157,1.714248,72974824634580.000000
13.101071,-4.343082,2.370260,72974864077548.000000
12.842498,-4.223372,3.160346,72974884936663.000000
12.741941,-4.414908,2.959233,72974903677809.000000
12.330139,-4.726154,2.178724,72974924345100.000000
10.644621,-4.467580,1.671153,72974964768434.000000
9.524135,-4.568137,1.398214,72974984810309.000000
8.576031,-4.577713,1.479617,72975004364215.000000
6.191406,-4.376601,1.163582,72975063860934.000000
5.698200,-4.170700,0.876278,72975104205361.000000
5.784391,-4.175488,0.794875,72975124546402.000000
7.422025,-4.836287,2.063802,72975225284111.000000
8.906430,-5.056554,1.924938,72975244690204.000000
11.975797,-5.195418,1.594538,72975285137340.000000
12.971785,-5.650316,1.537078,72975304133069.000000
13.077129,-5.669470,1.350330,72975324710100.000000
13.163321,-5.793968,1.460463,72975344163173.000000
13.134590,-6.157887,1.608904,72975384779996.000000
11.650186,-6.253655,1.379060,72975426992861.000000
10.821792,-6.502652,1.144428,72975444862600.000000
11.559206,-6.493075,0.651223,72975484979631.000000
12.334928,-6.306327,0.723049,72975505292756.000000
12.014104,-6.009446,0.512359,72975524922079.000000
11.429919,-5.822699,0.392649,72975544382444.000000
10.898406,-4.836287,0.114922,72975584867131.000000
10.323798,-4.328717,0.124498,72975605977704.000000
9.346964,-3.715801,0.215478,72975625485933.000000
8.307879,-3.050213,0.282516,72975664590829.000000
8.087613,-3.011906,0.158017,72975685106038.000000
7.972692,-3.371036,-0.004788,72975745348277.000000
8.183381,-3.500323,-0.416591,72975765704996.000000
8.192958,-3.524265,-0.339977,72975784631090.000000
8.532935,-3.720589,-0.325611,72975805850881.000000
9.964667,-4.012682,-0.574608,72975845312496.000000
10.342952,-3.730166,-0.675165,72975864778954.000000
10.117896,-3.634398,-0.483629,72975885308329.000000
8.863335,-4.395754,0.814029,72975925983590.000000
10.342952,-4.797980,1.675941,72975945682392.000000
11.856087,-5.166687,1.699883,72975965376662.000000
12.622231,-5.061342,1.556231,72975984859371.000000
13.862428,-5.525817,2.384625,72976026991350.000000
14.360422,-6.603208,2.710236,72976065391819.000000
13.661315,-6.167464,1.656788,72976085572287.000000
12.172121,-5.487510,1.216254,72976104993485.000000
10.673351,-4.879383,0.938527,72976125634475.000000
8.623915,-3.687071,0.804452,72976165597756.000000
7.991845,-4.180276,0.560243,72976185441506.000000
6.890512,-4.017470,0.301669,72976205707652.000000
6.291962,-3.931279,0.225055,72976226205048.000000
5.530606,-3.912126,0.081403,72976245875621.000000
6.402095,-4.266468,1.742979,72976366593016.000000
9.586384,-5.051765,1.168370,72976406145048.000000
13.565547,-5.702989,0.938527,72976486674839.000000
12.660539,-5.851429,1.374272,72976505439996.000000
13.144167,-6.344635,1.546654,72976545562548.000000
13.239936,-6.914454,1.268927,72976566370985.000000
11.975797,-6.789956,1.355118,72976585524735.000000
10.261548,-3.993528,0.272939,72976746259058.000000
9.605537,-3.945644,0.153229,72976766320048.000000
8.959103,-3.538630,0.272939,72976785851870.000000
7.915231,-3.481169,-0.028730,72976827035152.000000
7.580042,-3.208230,0.019154,72976846354579.000000
7.364564,-3.284845,-0.076614,72976905887235.000000
7.340622,-3.347094,-0.095768,72976926486193.000000
8.987833,-3.821146,0.000000,72976966571245.000000
10.036493,-3.931279,-0.134075,72976986037704.000000
10.568007,-3.897760,-0.421380,72977006759110.000000
10.663774,-4.007894,-0.378284,72977027678902.000000
9.859323,-4.304775,0.814029,72977066012808.000000
11.698070,-4.965574,1.029507,72977086642131.000000
12.890382,-5.281609,0.933739,72977106176818.000000
12.478580,-4.577713,0.905008,72977146208797.000000
11.444284,-4.692636,2.126051,72977186223433.000000
12.028469,-5.181053,2.039860,72977206874943.000000
9.686940,-3.902549,0.627281,72977306286089.000000
6.751649,-4.338294,0.804452,72977366917860.000000
5.971139,-4.477157,0.737414,72977407468954.000000
5.865794,-4.381389,0.555455,72977427437495.000000
6.636727,-4.414908,0.967257,72977466572078.000000
7.422025,-4.692636,1.484405,72977506586193.000000
9.572019,-5.147533,1.637634,72977547072808.000000
11.295844,-5.348647,1.398214,72977568275047.000000
12.224793,-5.415684,1.403002,72977586608485.000000
12.085930,-5.281609,1.551443,72977607199891.000000
11.525687,-5.439626,1.541866,72977647672651.000000
12.272678,-5.789180,1.565808,72977666718224.000000
13.316550,-6.033388,1.479617,72977706725099.000000
11.343728,-5.884948,1.541866,72977747448797.000000
10.759542,-5.702989,1.503559,72977768853745.000000
11.789049,-5.798757,1.426944,72977786891297.000000
12.813767,-5.616797,1.206678,72977807491037.000000
12.521675,-4.817134,0.268151,72977867880203.000000
11.918336,-4.228160,0.004788,72977887474995.000000
11.918336,-4.228160,0.004788,72977906927807.000000
9.969456,-3.184288,-0.100556,72977947533068.000000
8.882488,-3.198653,-0.071826,72977968281922.000000
8.216900,-2.973598,-0.019154,72977987013432.000000
7.589619,-2.849100,-0.138864,72978029889787.000000
6.842628,-3.007117,-0.114922,72978067493380.000000
6.847417,-3.150769,0.110133,72978087704578.000000
6.919243,-3.390190,0.603339,72978107174474.000000
10.764331,-3.979163,0.134075,72978187246297.000000
10.026917,-4.031836,0.703895,72978229276401.000000
13.249513,-4.807557,1.283292,72978287999370.000000
12.473791,-3.859453,0.995988,72978327960047.000000
11.396400,-4.414908,2.173935,72978368655828.000000
11.640609,-4.759673,1.877054,72978387469422.000000
12.823344,-4.276044,1.039083,72978430296974.000000
11.468226,-3.605668,0.402226,72978467528016.000000
9.155427,-4.429273,0.952892,72978507585776.000000
7.958326,-4.807557,1.154005,72978528164786.000000
6.378153,-5.070919,0.814029,72978569366870.000000
6.153099,-5.042189,0.818817,72978588188588.000000
6.469133,-4.893748,0.809240,72978608909266.000000
7.268796,-4.860229,1.120486,72978628726818.000000
7.709330,-4.726154,1.656788,72978667758276.000000
7.656657,-5.319916,1.872266,72978708182755.000000
9.308656,-5.717354,1.872266,72978729046609.000000
11.329363,-6.272809,1.307234,72978769244630.000000
11.750742,-6.607996,1.058237,72978789513640.000000
12.085930,-6.454768,1.063026,72978808584370.000000
12.713211,-6.469133,1.182736,72978828935724.000000
14.944607,-6.607996,1.331176,72978868019213.000000
14.652514,-6.540959,1.312023,72978888569318.000000
12.363658,-6.191406,1.268927,72978908947390.000000
12.071565,-6.157887,0.895431,72978928633640.000000
14.030022,-5.736507,0.368707,72978988131453.000000
13.895947,-5.200206,-0.248997,72979029168015.000000
13.062764,-3.969586,-0.569820,72979068449682.000000
10.160992,-3.193865,-0.555455,72979108437078.000000
9.323022,-2.791639,-0.325611,72979128921140.000000
8.643068,-2.585738,-0.335188,72979148791974.000000
8.025364,-2.614468,-0.339977,72979168907078.000000
7.460332,-2.552219,-0.335188,72979188327703.000000
6.363788,-2.178724,-0.541090,72979229388901.000000
5.999869,-2.269703,-0.560243,72979249060307.000000
7.972692,-3.366248,-0.703895,72979308476817.000000
9.208099,-3.548207,-0.890643,72979329015776.000000
9.619903,-3.241749,-0.751779,72979349825515.000000
9.662998,-4.328717,0.225055,72979390315880.000000
11.841722,-5.544971,1.441309,72979430471036.000000
12.957419,-5.999869,1.786075,72979449237859.000000
13.761871,-6.306327,2.063802,72979468705255.000000
14.441825,-5.410896,2.317587,72979530200099.000000
14.374787,-4.740520,1.474828,72979548721036.000000
14.585477,-4.477157,0.742203,72979569302755.000000
13.776237,-4.505888,0.632069,72979589392546.000000
12.660539,-3.955221,0.641646,72979610645567.000000
11.324574,-3.892972,0.890643,72979629820255.000000
5.985504,-5.123591,0.603339,72979708884890.000000
5.875371,-4.635174,0.229843,72979748938432.000000
6.268020,-4.486734,0.847547,72979811569942.000000
8.269572,-5.669470,1.436521,72979869128900.000000
10.046070,-5.774815,1.154005,72979889698275.000000
13.694834,-6.344635,0.656011,72979929803692.000000
13.388376,-6.320693,0.574608,72979949162650.000000
13.096283,-6.507440,0.861913,72979969836557.000000
