Activity_Label,Body_Position,Time_Stamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
Downstairs,,1364396345335,-17.365944,19.517958,0.88532263,-0.12186762,2.1774292,1.5357152,18.3,-44.16,8.639999
Downstairs,,1364396345354,-9.684067,13.933616,1.1577295,-0.053145275,-1.751656,1.2541064,17.279999,-44.16,9.179999
Downstairs,,1364396345375,-4.0452433,7.709117,-1.2666923,-0.59650993,-3.4718525,1.1765264,16.5,-44.399998,9.36
Downstairs,,1364396345394,-1.7706453,5.7886477,-0.7354988,-0.8677341,-2.9837713,0.89369583,15.9,-44.52,9.36
Downstairs,,1364396345414,2.819412,3.9635212,0.5992953,-0.5412266,-2.6627617,0.3286455,15,-44.7,9.24
Downstairs,,1364396345434,5.611583,4.1814466,0.8308412,-0.48624873,-1.9947804,-0.14752395,13.98,-44.76,9.12
Downstairs,,1364396345454,6.2789803,3.8273177,0.8036005,-0.51007247,-0.8530733,-0.41508293,13.559999,-45,8.88
Downstairs,,1364396345474,5.47538,2.0158114,0.626536,-0.4025602,0.28802297,-0.49296826,12.78,-45.3,8.5199995
Downstairs,,1364396345495,2.2882185,3.336985,2.0566726,-0.36865717,0.95569867,-0.6178902,12.3,-45.66,8.04
Downstairs,,1364396345514,-0.040861044,7.43671,2.6832085,-0.3387248,1.1157454,-0.6640105,12.3,-45.84,7.56
Downstairs,,1364396345534,-3.2280223,18.632635,0.5720546,-0.44409904,0.9224065,-0.44959682,12.48,-46.2,6.8999996
Downstairs,,1364396345554,-0.14982383,19.504337,7.3141265,-0.301462,0.5021312,1.2776246,12.78,-46.02,6.24
Downstairs,,1364396345575,1.96133,19.517958,10.051817,0.78801614,1.1615603,0.7852673,12.84,-46.14,6
Downstairs,,1364396345594,0.87170225,18.864182,9.575105,1.344209,2.4242187,0.3475823,13.0199995,-46.2,6
Downstairs,,1364396345614,-5.271075,11.672638,1.7706453,0.43799037,2.7363708,-0.31978795,13.08,-46.44,6.06
Downstairs,,1364396345634,-3.2280223,7.8317,-0.13620348,-0.3549127,1.9657644,-0.6206391,13.139999,-46.559998,6.06
Downstairs,,1364396345654,0.9670447,5.3527966,0.35412905,-0.77549344,1.0763446,-0.61269784,12.9,-46.559998,6.2999997
Downstairs,,1364396345674,2.2882185,4.3176503,0.7627395,-0.83658,0.5852089,-0.41996986,12.9,-46.62,6.24
Downstairs,,1364396345694,3.92266,1.0896279,1.5390993,-0.70463306,0.4990769,-0.25442538,12.78,-46.62,6.24
Downstairs,,1364396345714,2.669588,-2.3426998,2.0975335,-0.63529986,0.8772025,-0.28802297,12.48,-46.379997,6.18
Downstairs,,1364396345735,0.6537767,-3.1871614,0.84446156,-0.7480045,1.5070046,-0.29718593,12.36,-46.26,6.18
Downstairs,,1364396345754,-0.54481393,-3.3233647,-1.7297841,-0.98746365,1.6331482,0.12614368,12.24,-46.32,6.12
Downstairs,,1364396345774,-4.1814466,-0.53119355,-3.4595683,-1.1178834,1.3857478,0.5366451,12.24,-46.14,5.7599998
Downstairs,,1364396345794,-5.066769,1.4437568,-2.9283748,-0.9434814,1.0320568,0.86926126,12.179999,-45.899998,5.46
Downstairs,,1364396345815,-5.9793324,7.681876,-2.2201166,-0.5833763,0.33444872,0.9764681,12.24,-45.84,4.92
Downstairs,,1364396345834,-6.3879433,15.731502,-3.5276701,-0.20433442,-0.3924809,0.84665924,12,-45.78,4.2
Downstairs,,1364396345854,-6.4424243,16.09925,-2.819412,-0.15882497,-0.68019843,0.91629785,11.94,-45.899998,4.08
Downstairs,,1364396345875,-6.0201936,19.095728,-2.7649305,0.12767084,-0.7467828,1.5338826,11.46,-46.26,3.6
Downstairs,,1364396345895,-3.9635212,15.241169,-0.12258313,-0.010690142,-0.95447695,1.9278907,10.8,-46.5,3.36
Downstairs,,1364396345914,-1.5118586,10.882658,2.383561,-0.008857546,-1.6572775,1.3634512,9.9,-46.86,3.06
Downstairs,,1364396345935,1.6344417,9.697687,3.5412905,0.029626964,-2.1551325,0.68569624,9.3,-46.98,2.6399999
Downstairs,,1364396345955,1.6344417,9.697687,3.5412905,0.029626964,-2.1551325,0.68569624,9.3,-46.98,2.6399999
Downstairs,,1364396345974,9.425281,4.5628166,4.385752,-0.07574729,-0.8008443,-0.19883664,7.3799996,-47.7,2.1599998
Downstairs,,1364396345994,7.8998017,2.315459,4.2495484,0.10354166,0.67256266,-0.5448918,6.6,-47.879997,2.04
Downstairs,,1364396346014,4.4810944,5.407278,3.486809,0.3203988,1.7889189,-0.8897252,6.18,-48.239998,1.8
Downstairs,,1364396346048,0.25878662,17.570248,0.95342433,0.49449542,2.4807239,-0.68294734,5.58,-48.3,1.74
Downstairs,,1364396346058,-3.336985,19.408995,0.9942854,0.2941316,2.8615983,-0.12767084,5.52,-48.12,1.8
Downstairs,,1364396346075,-4.671779,19.517958,3.9362805,0.53969944,1.7122552,0.7275405,5.52,-48.12,1.74
Downstairs,,1364396346095,-4.69902,17.978859,5.87037,0.7348709,0.5143485,0.7464773,5.8799996,-48.18,1.9799999
Downstairs,,1364396346114,-2.9964764,13.606728,4.2904096,0.8567385,0.00702495,0.5012149,6.18,-48.3,2.58
Downstairs,,1364396346134,1.0215261,11.795221,2.465283,0.44806966,-0.08246681,0.093462385,6.24,-48.18,3.12
Downstairs,,1364396346154,4.9986677,8.131348,2.8602731,0.14508049,0.35888332,-0.3472769,6.2999997,-48.18,3.4199998
Downstairs,,1364396346175,4.4129925,4.4810944,3.6502533,0.21166481,0.90102625,-0.453262,6.18,-48.18,3.8999999
Downstairs,,1364396346194,3.5140498,1.5527196,3.3097446,0.3036,1.2055426,-0.4251622,6.18,-48.239998,4.3199997
Downstairs,,1364396346214,3.3642259,-1.0896279,2.2882185,0.02107485,1.568702,-0.5137377,5.94,-48.36,4.68
Downstairs,,1364396346235,2.669588,-2.4789033,0.43585113,-0.49602258,2.3335052,-0.43890667,5.8799996,-48.239998,5.1
Downstairs,,1364396346254,2.3290794,-2.3426998,-0.54481393,-0.7330383,2.7605,-0.23579398,5.8799996,-48.3,5.3399997
Downstairs,,1364396346275,1.1985906,-1.1441092,-2.1247742,-0.91813046,3.1569517,0.013744468,5.64,-48.239998,5.4
Downstairs,,1364396346294,-0.53119355,1.5390993,-2.465283,-1.0192287,3.2754595,0.24465153,5.7,-48.059998,5.04
Downstairs,,1364396346315,-1.8251266,4.235928,-2.8057916,-1.1307116,2.8640418,0.38331795,5.7599998,-48,4.56
